attack_type,country,area,activity,sex,injury,fatal,time,species,age,year,month
Boating,USA,California,Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark,57,2018,June
Unprovoked,USA,Georgia,Standing,F,Minor injury to left thigh,N,14h00  -15h00,unknown,11,2018,June
Invalid,USA,Hawaii,Surfing,M,Injury to left lower leg from surfboard skeg,N,07h45,unknown,48,2018,June
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor injury to lower leg,N,unknown,2 m shark,not declared,2018,June
Provoked,MEXICO,Colima,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,unknown,"Tiger shark, 3m",not declared,2018,June
Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,"No injury, board bitten",N,unknown,unknown,not declared,2018,June
Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,Late afternoon,Tiger shark,18,2018,June
Unprovoked,USA,Florida,Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,unknown,"Lemon shark, 3'",52,2018,May
Unprovoked,USA,Florida,Walking,M,Lower left leg bitten,N,17h00,"Bull shark, 6'",15,2018,May
Unprovoked,USA,Florida,Standing,M,Minor injury to foot,N,14h00,unknown,12,2018,May
Provoked,AUSTRALIA,Queensland,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,32,2018,May
Unprovoked,USA,South Carolina,Boogie boarding,M,Injuries to lower right leg and foot,N,unknown,unknown,10,2018,May
Unprovoked,USA,South Carolina,Swimming,M,Severe bite to right forearm,N,15h00,unknown,10,2018,May
Invalid,ENGLAND,Cornwall,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident,21,2018,May
Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,unknown,"Tawny nurse shark, 2m",34,2018,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Minor injury, marks on board",N,11h00,unknown,not declared,2018,May
Questionable,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,not declared,2018,May
Unprovoked,THAILAND,Hua Hin,Swimming,M,Minor injury to ankle,N,unknown,unknown,not declared,2018,April
Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,"No injury, shark bit scuba gear",N,10h40,Tiger shark,30,2018,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, knocked off board by shark",N,16h50,unknown,not declared,2018,April
Questionable,AUSTRALIA,New South Wales,Surfing,M,No injury,N,07h00,Questionable,not declared,2018,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, knocked off board by shark",N,09h30,3 m shark,60,2018,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",not declared,2018,April
Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,5-inch cut to hand,N,21h50,Tiger shark,32,2018,April
Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",33,2018,April
Unprovoked,USA,Hawaii,Body boarding,M,Lacerations to right lower leg,N,unknown,6' shark,29,2018,April
Unprovoked,THAILAND,Hua Hin,Swimming,M,Lacerations to foot and ankle,N,unknown,Juvenile bull shark,54,2018,April
Unprovoked,BRAZIL,Pernambuco,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",unknown,unknown,unknown,34,2018,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Laceration to right thigh,N,unknown,unknown,41,2018,April
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Lacerations to legs,N,08h00,unknown,37,2018,April
Unprovoked,BAHAMAS,New Providence,Surfing,M,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,not declared,2018,April
Invalid,BRAZIL,Alagoas,Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,unknown,Shark involvement not confirmed,56,2018,April
Unprovoked,NEW CALEDONIA,unknown,Windsurfing,not declared,"No injury, shark bit board",N,17h00,2 m shark,not declared,2018,April
Unprovoked,BAHAMAS,unknown,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,12,2018,April
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Lacerations to left knee & lower leg,N,15h00,White shark,19,2018,April
Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",25,2018,March
Unprovoked,AUSTRALIA,Western Australia,Wading,M,Minor injuries to legs,N,17h35,Wobbegong shark,10,2018,March
Unprovoked,AUSTRALIA,Victoria,Swimming,M,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,69,2018,March
Unprovoked,AUSTRALIA,Victoria,Surfing,M,"Minor injury, ankle grazed",N,07h30,1.8 m shark,18,2018,March
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M, The shark & man simply collided; neither were injured,N,unknown,Blacktip shark,38,2018,February
Unprovoked,AUSTRALIA,New South Wales,Swimming,F,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",55,2018,February
Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,unknown,34,2018,February
